"BLDG_NUM,N,19,11","PRG__NUM,N,19,11","NAME,C,254","GRADES,C,254","ADDRESS,C,254","ZIPCODE,C,254","CATEGORY,C,254","TYPE,C,254","x_1,N,19,11","y_1,N,19,11",,Match Y/N,Match Type,Matched Address,Tiger Line ID,Tiger Side,Longitude,Latitude
4.00000000000,4.00000000000,Steuart Hill,Pre-K - 8.,30 S. Gilmor Street,21223,PK8,Traditional,1413475.42503000000,590354.09119700000,,Match,Exact,"30 S Gilmor St, BALTIMORE, MD, 21223",206465649,R,-76.64235,39.287228
5.00000000000,5.00000000000,Langston Hughes,Pre-K - 5.,5011 Arbutus Avenue,21215,ES,Traditional,1402829.17008000000,610385.16301100000,,Match,Exact,"5011 Arbutus Ave, BALTIMORE, MD, 21215",206443462,R,-76.68051,39.342525
7.00000000000,7.00000000000,Cecil,Pre-K - 5.,2000 Cecil Avenue,21218,ES,Traditional,1423880.00396000000,599897.26469600000,,Match,Exact,"2000 Cecil Ave, BALTIMORE, MD, 21218",206419734,L,-76.60526,39.312756
8.00000000000,8.00000000000,City Springs,Pre-K - 8.,100 S. Caroline Street,21231,Charter,Conversion Charter,1426294.50701000000,591316.34255300000,,Match,Exact,"100 S Caroline St, BALTIMORE, MD, 21231",206421687,R,-76.59712,39.290222
10.00000000000,10.00000000000,James McHenry,Pre-K - 6,31 S. Schroeder Street,21223,PK8,Traditional,1416296.17694000000,590479.76548600000,,Match,Exact,"31 S Schroeder St, BALTIMORE, MD, 21223",206417873,L,-76.63371,39.28766
11.00000000000,11.00000000000,Eutaw-Marshburn,Pre-K - 5.,1624 Eutaw Place,21217,ES,Traditional,1416951.15004000000,597302.01627700000,,Match,Exact,"1624 Eutaw Pl, BALTIMORE, MD, 21217",206417077,L,-76.62881,39.30592
12.00000000000,12.00000000000,Lakeland,Pre-K - 8.,2921 Stranden Road,21230,PK8,Traditional,1412894.54299000000,578226.32772300000,,Match,Exact,"2921 Stranden Rd, BALTIMORE, MD, 21230",206460346,L,-76.64527,39.254204
13.00000000000,13.00000000000,Tench Tilghman,Pre-K - 8.,600 N. Patterson Park Avenue,21205,PK8,Traditional,1429661.80112000000,594455.13516000000,,Match,Exact,"600 N Patterson Park Ave, BALTIMORE, MD, 21205",206458355,L,-76.585106,39.297665
50.00000000000,15.00000000000,Stadium School,6 - 8.,1300 Gorsuch Avenue,21218,MS,New Schools Initiative,1425649.23599000000,604216.44798700000,,Match,Exact,"1300 Gorsuch Ave, BALTIMORE, MD, 21218",206409425,L,-76.60029,39.324783
16.00000000000,16.00000000000,Johnston Square,Pre-K - 5.,1101 Valley Street,21202,ES,Traditional,1424290.97394000000,596395.48987500000,,Match,Exact,"1101 Valley St, BALTIMORE, MD, 21202",206420010,R,-76.60498,39.302887
