gender,school,inc_aframer,inc_amerind,inc_asian,inc_hisp,inc_white,inc_total
Female,Academy for College and Career Exploration,55,0,0,0,0,55
Female,Achievement Academy @ Harbor City High,12,2,0,0,0,14
Female,Afya Public Charter School,6,0,0,0,0,6
Female,Arlington Elementary/Middle,9,0,0,0,0,9
Female,Armistead Gardens Elementary/Middle,8,0,0,0,3,11
Female,Arundel Elementary/Middle,23,0,0,0,0,23
Female,Augusta Fells Savage Institute of Visual Arts High,14,0,0,0,0,14
Female,Baltimore Antioch Diploma Plus High School,24,0,0,0,0,24
Female,Baltimore City College,21,0,0,0,0,21
Female,Baltimore Civitas Middle/High,7,0,0,0,0,7
Female,Baltimore Community High School,6,0,0,0,0,6
Female,Baltimore Design School,48,0,0,0,1,49
Female,Baltimore Freedom Academy,72,0,0,0,0,72
Female,Baltimore International Academy,2,0,0,0,0,2
Female,Baltimore IT Academy,38,0,0,0,2,40
Female,Baltimore Leadership School for Young Women,11,0,1,0,0,12
Female,Baltimore Liberation Diploma Plus High School,11,0,0,0,0,11
Female,Baltimore Montessori Public Charter Middle School,8,0,0,0,0,8
Female,Baltimore Polytechnic Institute,0,0,0,0,3,3
Female,Baltimore Rising Star Academy@Laurence G. Paquin,50,0,0,0,0,50
Female,Baltimore School for the Arts,1,0,0,0,0,1
Female,Baltimore Talent Development High,66,0,0,0,0,66
Female,Barclay Elementary/Middle,12,0,0,0,0,12
Female,Bay-Brook Elementary/Middle,14,0,0,1,1,16
Female,Beechfield Elementary/Middle,33,0,0,0,0,33
Female,Benjamin Franklin High at Masonville Cove,39,0,0,0,8,47
Female,Booker T. Washington Middle,109,0,0,0,0,109
Female,Calverton Elementary/Middle,14,0,0,0,0,14
Female,Carver Vocational-Technical High,71,0,0,0,0,71
Female,Cherry Hill Elementary/Middle,13,0,0,0,0,13
Female,City Neighbors High School,29,0,0,1,6,36
Female,City Springs Elem/Middle,3,0,0,0,0,3
Female,Coldstream Park Elem/Middle,17,0,0,0,0,17
Female,Collington Square Elem/Middle,47,0,0,0,0,47
Female,Commodore John Rodgers Elem/Middle,59,0,0,1,0,60
Female,ConneXions: A Community Based Arts School,15,0,0,0,1,16
Female,Coppin Academy,16,0,0,0,0,16
Female,Cross Country Elementary/Middle,1,0,0,0,0,1
Female,Curtis Bay Elementary/Middle,20,6,0,0,7,33
Female,Dickey Hill Elementary/Middle,14,0,0,0,0,14
Female,Digital Harbor High School,101,0,0,4,1,106
Female,Dr. Carter Godwin Woodson,3,0,0,0,0,3
Female,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,37,0,0,0,4,41
Female,Dr. Rayner Browne Elem/Middle,8,0,0,0,4,12
Female,Edgecombe Circle Elem/Middle,25,0,0,0,0,25
Female,Edmondson-Westside High,55,0,0,0,0,55
