SURVYEAR	NCESSCH	FIPST	LEAID	SCHNO	STID	SEASCH	LEANM	SCHNAM	PHONE	MSTREE	MCITY	MSTATE	MZIP	MZIP4	LSTREE	LCITY	LSTATE	LZIP	LZIP4	TYPE	STATUS	UNION	ULOCAL	LATCOD	LONCOD	CONUM	CONAME	CDCODE	BIES	RECONSTY	RECONSTF	SMEMPUP	ISMEMPUP	SFTEPUP	ISFTEPUP	SFLE	ISFLE	SPFEMALE	ISPFEMALE	SPWHITE	ISPWHITE	SPELM	ISPELM	FTE	GSLO	GSHI	PKOFFRD	KGOFFRD	G01OFFRD	G02OFFRD	G03OFFRD	G04OFFRD	G05OFFRD	G06OFFRD	G07OFFRD	G08OFFRD	G09OFFRD	G10OFFRD	G11OFFRD	G12OFFRD	UGOFFRD	LEVEL	TITLEISTAT	TITLEI	STITLI	MAGNET	CHARTR	SHARED	FRELCH	REDLCH	TOTFRL	PK	AMPKM	AMPKF	ASPKM	ASPKF	HIPKM	HIPKF	BLPKM	BLPKF	WHPKM	WHPKF	HPPKM	HPPKF	TRPKM	TRPKF	KG	AMKGM	AMKGF	ASKGM	ASKGF	HIKGM	HIKGF	BLKGM	BLKGF	WHKGM	WHKGF	HPKGM	HPKGF	TRKGM	TRKGF	G01	AM01M	AM01F	AS01M	AS01F	HI01M	HI01F	BL01M	BL01F	WH01M	WH01F	HP01M	HP01F	TR01M	TR01F	G02	AM02M	AM02F	AS02M	AS02F	HI02M	HI02F	BL02M	BL02F	WH02M	WH02F	HP02M	HP02F	TR02M	TR02F	G03	AM03M	AM03F	AS03M	AS03F	HI03M	HI03F	BL03M	BL03F	WH03M	WH03F	HP03M	HP03F	TR03M	TR03F	G04	AM04M	AM04F	AS04M	AS04F	HI04M	HI04F	BL04M	BL04F	WH04M	WH04F	HP04M	HP04F	TR04M	TR04F	G05	AM05M	AM05F	AS05M	AS05F	HI05M	HI05F	BL05M	BL05F	WH05M	WH05F	HP05M	HP05F	TR05M	TR05F	G06	AM06M	AM06F	AS06M	AS06F	HI06M	HI06F	BL06M	BL06F	WH06M	WH06F	HP06M	HP06F	TR06M	TR06F	G07	AM07M	AM07F	AS07M	AS07F	HI07M	HI07F	BL07M	BL07F	WH07M	WH07F	HP07M	HP07F	TR07M	TR07F	G08	AM08M	AM08F	AS08M	AS08F	HI08M	HI08F	BL08M	BL08F	WH08M	WH08F	HP08M	HP08F	TR08M	TR08F	G09	AM09M	AM09F	AS09M	AS09F	HI09M	HI09F	BL09M	BL09F	WH09M	WH09F	HP09M	HP09F	TR09M	TR09F	G10	AM10M	AM10F	AS10M	AS10F	HI10M	HI10F	BL10M	BL10F	WH10M	WH10F	HP10M	HP10F	TR10M	TR10F	G11	AM11M	AM11F	AS11M	AS11F	HI11M	HI11F	BL11M	BL11F	WH11M	WH11F	HP11M	HP11F	TR11M	TR11F	G12	AM12M	AM12F	AS12M	AS12F	HI12M	HI12F	BL12M	BL12F	WH12M	WH12F	HP12M	HP12F	TR12M	TR12F	UG	AMUGM	AMUGF	ASUGM	ASUGF	HIUGM	HIUGF	BLUGM	BLUGF	WHUGM	WHUGF	HPUGM	HPUGF	TRUGM	TRUGF	MEMBER	AM	AMALM	AMALF	ASIAN	ASALM	ASALF	HISP	HIALM	HIALF	BLACK	BLALM	BLALF	WHITE	WHALM	WHALF	PACIFIC	HPALM	HPALF	TR	TRALM	TRALF	TOTETH	VIRTUALSTAT	NSLPSTATUS	CHARTAUTH1	CHARTAUTH2
2013	240009000143	24	2400090	00143	30	300050	BALTIMORE CITY PUBLIC SCHOOLS	ABBOTTSTON ELEMENTARY	4439842685	1300 GORSUCH AVE	BALTIMORE	MD	21218	3620	1300 GORSUCH AVE	BALTIMORE	MD	21218	3620	1	1	000	11	39.325000	-76.599400	24510	BALTIMORE CITY	2407	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	9.50	PK	05	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	5	1	1	2	2	2	133	8	141	22	0	0	0	0	0	0	9	12	0	1	0	0	0	0	27	0	0	0	0	1	0	13	11	1	1	0	0	0	0	25	0	0	0	0	0	0	13	12	0	0	0	0	0	0	18	0	0	0	0	0	0	11	5	0	0	0	0	1	1	23	0	0	0	0	0	0	12	11	0	0	0	0	0	0	19	0	0	0	0	0	0	11	7	1	0	0	0	0	0	16	0	0	0	0	0	0	8	8	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	150	0	0	0	0	0	0	1	1	0	143	77	66	4	2	2	0	0	0	2	1	1	150	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000145	24	2400090	00145	30	300145	BALTIMORE CITY PUBLIC SCHOOLS	ALEXANDER HAMILTON ELEMENTARY	4103960520	800 POPLAR GROVE ST	BALTIMORE	MD	21216	4347	800 POPLAR GROVE ST	BALTIMORE	MD	21216	4347	1	1	000	11	39.297600	-76.665800	24510	BALTIMORE CITY	2407	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	13.00	PK	05	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	5	1	1	2	2	2	251	2	253	41	0	0	0	0	0	0	20	21	0	0	0	0	0	0	47	0	0	0	0	0	0	18	29	0	0	0	0	0	0	44	0	0	0	0	1	0	24	19	0	0	0	0	0	0	32	0	0	0	0	2	1	12	15	0	1	0	1	0	0	31	0	0	0	0	0	0	12	18	1	0	0	0	0	0	35	0	0	0	0	0	0	14	20	1	0	0	0	0	0	35	0	0	0	0	0	0	14	21	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	265	0	0	0	0	0	0	4	3	1	257	114	143	3	2	1	1	0	1	0	0	0	265	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000146	24	2400090	00146	30	300234	BALTIMORE CITY PUBLIC SCHOOLS	ARLINGTON ELEMENTARY/MIDDLE	4103960567	3705 W ROGERS AVE	BALTIMORE	MD	21215	4525	3705 WEST ROGERS AVE	BALTIMORE	MD	21215	4525	1	1	000	11	39.350300	-76.684300	24510	BALTIMORE CITY	2407	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	29.50	PK	08	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	5	1	1	2	2	2	475	32	507	22	0	0	0	0	0	0	8	14	0	0	0	0	0	0	53	0	0	0	0	1	2	23	27	0	0	0	0	0	0	63	0	0	0	0	0	4	27	32	0	0	0	0	0	0	57	0	0	0	1	7	1	30	18	0	0	0	0	0	0	56	0	0	0	0	4	1	28	21	0	0	0	0	1	1	50	0	0	0	0	1	3	27	18	0	0	0	0	1	0	64	0	0	0	1	1	0	37	25	0	0	0	0	0	0	57	0	0	0	0	4	0	29	24	0	0	0	0	0	0	54	0	0	1	0	0	1	36	15	1	0	0	0	0	0	58	0	0	0	0	1	1	30	26	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	534	0	0	0	3	1	2	32	19	13	495	275	220	1	1	0	0	0	0	3	2	1	534	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000147	24	2400090	00147	30	300243	BALTIMORE CITY PUBLIC SCHOOLS	ARMISTEAD GARDENS ELEMENTARY	4103969090	5001 E EAGER ST	BALTIMORE	MD	21205	5000	5001 EAST EAGER ST	BALTIMORE	MD	21205	5000	1	1	000	11	39.304800	-76.552700	24510	BALTIMORE CITY	2403	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	42.00	PK	08	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	5	1	1	2	2	2	526	44	570	74	0	0	0	1	21	15	6	4	19	8	0	0	0	0	68	1	0	0	1	19	14	3	2	16	10	0	0	1	1	83	0	2	1	0	13	21	6	6	21	13	0	0	0	0	80	1	0	0	2	16	17	4	6	19	14	0	0	0	1	51	0	0	2	2	19	7	4	4	7	6	0	0	0	0	60	2	1	1	2	19	16	3	1	5	10	0	0	0	0	64	0	1	0	0	19	22	2	4	8	8	0	0	0	0	51	0	2	0	0	13	13	4	2	11	6	0	0	0	0	42	0	0	0	1	6	10	4	5	7	7	0	0	1	1	40	0	0	1	0	9	15	1	1	7	6	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	613	10	4	6	14	5	9	304	154	150	72	37	35	208	120	88	0	0	0	5	2	3	613	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000148	24	2400090	00148	30	300164	BALTIMORE CITY PUBLIC SCHOOLS	ARUNDEL ELEMENTARY/MIDDLE	4103961379	2400 ROUND RD	BALTIMORE	MD	21225	1001	2400 ROUND RD	BALTIMORE	MD	21225	1001	1	1	000	11	39.251800	-76.627800	24510	BALTIMORE CITY	2402	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	29.50	PK	08	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	5	1	1	2	2	2	379	9	388	42	0	0	0	0	0	2	17	23	0	0	0	0	0	0	57	0	0	0	0	0	1	33	22	1	0	0	0	0	0	57	0	0	0	0	3	3	26	23	1	1	0	0	0	0	45	0	0	0	0	1	1	20	23	0	0	0	0	0	0	48	0	0	0	0	0	0	31	16	0	1	0	0	0	0	38	0	0	0	0	0	0	18	19	0	1	0	0	0	0	28	0	0	0	0	0	0	14	14	0	0	0	0	0	0	35	0	0	0	0	0	0	16	18	1	0	0	0	0	0	44	0	0	0	0	0	1	20	23	0	0	0	0	0	0	24	0	0	0	0	0	0	16	8	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	418	0	0	0	0	0	0	12	4	8	400	211	189	6	3	3	0	0	0	0	0	0	418	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000149	24	2400090	00149	30	300058	BALTIMORE CITY PUBLIC SCHOOLS	DR. NATHAN A. PITTS-ASHBURTON ELEMENTARY/MIDDLE	4103960636	3935 HILTON RD	BALTIMORE	MD	21215	7559	3935 HILTON RD	BALTIMORE	MD	21215	7559	1	1	000	11	39.331000	-76.667600	24510	BALTIMORE CITY	2407	2	2011	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	21.50	PK	08	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	1	1	2	2	2	339	27	366	19	0	0	0	0	0	0	8	11	0	0	0	0	0	0	49	0	0	0	0	0	2	28	19	0	0	0	0	0	0	46	0	0	0	0	2	0	25	18	0	0	0	0	0	1	35	0	0	0	1	1	0	16	17	0	0	0	0	0	0	38	0	0	0	0	1	0	18	19	0	0	0	0	0	0	36	0	0	0	0	0	0	18	18	0	0	0	0	0	0	46	0	0	0	0	0	0	23	23	0	0	0	0	0	0	42	0	0	0	0	0	0	17	25	0	0	0	0	0	0	52	0	0	1	0	0	1	25	25	0	0	0	0	0	0	40	0	0	0	0	0	0	12	28	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	403	0	0	0	2	1	1	7	4	3	393	190	203	0	0	0	0	0	0	1	0	1	403	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000150	24	2400090	00150	30	300480	BALTIMORE CITY PUBLIC SCHOOLS	BALTIMORE CITY COLLEGE	4103966557	3220 THE ALAMEDA	BALTIMORE	MD	21218	3641	3220 THE ALAMEDA	BALTIMORE	MD	21218	3641	1	1	000	11	39.325800	-76.597100	24510	BALTIMORE CITY	2407	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	76.00	09	12	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	3	6	2	N	2	2	2	617	120	737	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	370	1	1	2	3	12	9	99	185	21	33	0	0	3	1	333	0	0	1	1	4	7	124	157	21	16	0	0	1	1	301	0	0	7	1	7	5	101	142	19	17	0	1	1	0	285	1	1	1	0	1	1	94	151	18	16	0	1	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1289	4	2	2	16	11	5	46	24	22	1053	418	635	161	79	82	2	0	2	7	5	2	1289	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000151	24	2400090	00151	30	300403	BALTIMORE CITY PUBLIC SCHOOLS	BALTIMORE POLYTECHNIC INSTITUTE	4103967026	1400 W COLD SPRING LN	BALTIMORE	MD	21209	4904	1400 WEST COLD SPRING LN	BALTIMORE	MD	21209	4904	1	1	000	11	39.346000	-76.643100	24510	BALTIMORE CITY	2403	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	82.50	09	12	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	3	6	2	N	2	2	2	692	143	835	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	395	0	0	3	12	11	14	129	150	35	41	0	0	0	0	352	0	2	13	8	7	11	99	141	50	20	0	0	0	1	332	1	0	8	3	5	8	129	135	25	18	0	0	0	0	402	25	9	2	4	10	9	155	132	31	23	0	1	0	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1481	37	26	11	53	26	27	75	33	42	1070	512	558	243	141	102	1	0	1	2	0	2	1481	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000152	24	2400090	00152	30	300054	BALTIMORE CITY PUBLIC SCHOOLS	BARCLAY ELEMENTARY/MIDDLE	4103966387	2900 BARCLAY ST	BALTIMORE	MD	21218	4117	2900 BARCLAY ST	BALTIMORE	MD	21218	4117	1	1	000	11	39.323700	-76.611400	24510	BALTIMORE CITY	2407	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	26.00	PK	08	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	5	1	1	2	2	2	422	33	455	43	0	0	1	1	0	0	18	23	0	0	0	0	0	0	56	1	2	0	1	0	1	28	23	0	0	0	0	0	0	51	0	0	0	2	1	1	20	27	0	0	0	0	0	0	50	0	0	0	0	3	2	17	28	0	0	0	0	0	0	49	0	0	0	2	1	1	18	27	0	0	0	0	0	0	41	0	0	0	1	0	2	13	24	1	0	0	0	0	0	38	0	0	0	1	0	0	19	18	0	0	0	0	0	0	46	0	0	0	1	0	2	20	23	0	0	0	0	0	0	55	0	0	0	0	1	1	24	29	0	0	0	0	0	0	45	0	0	0	0	1	0	16	27	1	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	474	3	1	2	10	1	9	17	7	10	442	193	249	2	2	0	0	0	0	0	0	0	474	VIRTUALNO	NSLPWOPRO	N	N
2013	240009000153	24	2400090	00153	30	300034	BALTIMORE CITY PUBLIC SCHOOLS	CHARLES CARROLL BARRISTER ELEMENTARY	4103965973	1327 WASHINGTON BLVD	BALTIMORE	MD	21230		1327 WASHINGTON BLVD	BALTIMORE	MD	21230		1	1	000	11	39.279700	-76.636000	24510	BALTIMORE CITY	2403	2	N	2	2	PS	2	PS	2	PS	2	PS	2	PS	2	PS	17.00	PK	05	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	5	1	1	2	2	2	261	18	279	41	0	0	2	2	5	3	5	18	2	4	0	0	0	0	44	0	0	0	0	7	3	12	9	8	3	0	2	0	0	52	0	0	1	2	5	7	16	10	7	3	0	1	0	0	52	0	0	2	2	7	3	9	18	7	4	0	0	0	0	33	0	0	2	0	5	0	11	10	1	2	0	1	1	0	27	0	0	0	0	1	2	9	9	2	3	0	1	0	0	36	0	0	4	3	2	4	7	12	2	1	1	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	285	0	0	0	20	11	9	54	32	22	155	69	86	49	29	20	6	1	5	1	1	0	285	VIRTUALNO	NSLPWOPRO	N	N
