"school","grades","address","lat_orig","lon_orig","lat","lon","geocoder"
"Steuart Hill","Pre-K - 8.","30 S. Gilmor Street",39.287228,-76.64235,"39.287228","-76.64235","Census"
"Langston Hughes","Pre-K - 5.","5011 Arbutus Avenue",39.342525,-76.68051,"39.254612","-76.68859","Census"
"Cecil","Pre-K - 5.","2000 Cecil Avenue",39.312756,-76.60526,"39.312756","-76.60526","Census"
"City Springs","Pre-K - 8.","100 S. Caroline Street",39.290222,-76.59712,"39.290222","-76.59712","Census"
"James McHenry","Pre-K - 6","31 S. Schroeder Street",39.28766,-76.63371,"39.28766","-76.63371","Census"
"Eutaw-Marshburn","Pre-K - 5.","1624 Eutaw Place",39.30592,-76.62881,"39.30592","-76.62881","Census"
"Lakeland","Pre-K - 8.","2921 Stranden Road",39.254204,-76.64527,"39.254204","-76.64527","Census"
"Tench Tilghman","Pre-K - 8.","600 N. Patterson Park Avenue",39.297665,-76.585106,"39.297665","-76.585106","Census"
"Stadium School","6 - 8.","1300 Gorsuch Avenue",39.324783,-76.60029,"39.324783","-76.60029","Census"
"Johnston Square","Pre-K - 5.","1101 Valley Street",39.302887,-76.60498,"39.302887","-76.60498","Census"
"Hilton","Pre-K - 5.","3301 Carlisle Avenue",39.319435,-76.67307,"39.319435","-76.67307","Census"
"George Washington","Pre-K - 5.","800 Scott Street",39.281162,-76.62877,"39.281162","-76.62877","Census"
"Wolfe Street Academy","Pre-K - 5","245 S. Wolfe Street",39.288666,-76.59029,"39.288666","-76.59029","Census"
"Westside","Pre-K - 5.","2235 N. Fulton Avenue",39.31396,-76.64552,"39.31396","-76.64552","Census"
"Dr. Rayner Browne","Pre-K - 8.","1000 N. Montford Avenue",39.30238,-76.58392,"39.30238","-76.58392","Census"
"Commodore John Rodgers","Pre-K - 8.","100 N. Chester Street",39.292908,-76.587524,"39.292908","-76.587524","Census"
"William Pinderhughes","Pre-K - 8.","701 Gold Street",39.306797,-76.640366,"39.306797","-76.640366","Census"
