district_name,state,district_id,rate_all,rate_ind,rate_asian,rate_pacis,rate_black,rate_latino,rate_white,m_rate_all,m_rate_ind,m_rate_asian,m_rate_pacis,m_rate_black,m_rate_latino,m_rate_white,f_rate_all,f_rate_ind,f_rate_asian,f_rate_pacis,f_rate_black,f_rate_latino,f_rate_white,cnt_all,cnt_ind,cnt_asian,cnt_pacis,cnt_black,cnt_latino,cnt_white,m_cnt_all,m_cnt_ind,m_cnt_asian,m_cnt_pacis,m_cnt_black,m_cnt_latino,m_cnt_white,f_cnt_all,f_cnt_ind,f_cnt_asian,f_cnt_pacis,f_cnt_black,f_cnt_latino,f_cnt_white
ANCHORAGE SCHOOL DISTRICT,AK,0200180,2.15%,3.15%,1.00%,2.49%,5.35%,1.98%,1.52%,3.39%,5.24%,1.54%,3.42%,8.02%,3.05%,2.52%,0.80%,0.93%,0.41%,0.81%,2.56%,0.77%,0.39%,535,70,25,30,85,55,165,440,60,20,20,65,45,145,95,10,5,5,20,10,20
ANNETTE ISLAND SCHOOL DISTRICT,AK,0200525,0.00%,0.00%,,0.00%,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,0.00%,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRISTOL BAY BOROUGH SCHOOL DISTRICT,AK,0200030,6.25%,9.09%,0.00%,,,,20.00%,12.50%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
COPPER RIVER SCHOOL DISTRICT,AK,0200070,0.00%,0.00%,,0.00%,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORDOVA CITY SCHOOL DISTRICT,AK,0200060,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAIG CITY SCHOOL DISTRICT,AK,0200090,2.78%,0.00%,,,,0.00%,0.00%,5.26%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA/GREELY SCHOOL DISTRICT,AK,0200100,0.00%,0.00%,,0.00%,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILLINGHAM CITY SCHOOL DISTRICT,AK,0200120,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,AK,0200600,2.08%,2.33%,0.00%,0.00%,3.33%,2.61%,1.95%,3.38%,3.45%,0.00%,0.00%,6.67%,3.33%,3.32%,0.71%,1.18%,0.00%,0.00%,2.22%,1.82%,0.47%,150,20,0,0,15,15,85,125,15,0,0,15,10,75,25,5,0,0,5,5,10
GALENA CITY SCHOOL DISTRICT,AK,0200130,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAINES BOROUGH SCHOOL DISTRICT,AK,0200270,0.00%,,,,,,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOONAH CITY SCHOOL DISTRICT,AK,0200300,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%,,,,,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUNEAU BOROUGH SCHOOL DISTRICT,AK,0200210,1.28%,1.09%,0.00%,0.00%,0.00%,0.00%,1.28%,2.05%,2.13%,0.00%,0.00%,0.00%,0.00%,2.44%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,30,5,0,0,0,0,15,25,5,0,0,0,0,15,5,0,0,0,0,0,5
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,AK,0200390,3.08%,4.48%,0.00%,25.00%,0.00%,3.57%,2.93%,4.83%,6.06%,0.00%,50.00%,0.00%,7.69%,4.17%,1.17%,2.86%,0.00%,0.00%,0.00%,0.00%,1.16%,110,15,0,5,0,5,80,90,10,0,5,0,5,60,20,5,0,0,0,0,15
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,AK,0200150,1.44%,1.41%,0.00%,,0.00%,0.00%,0.94%,1.83%,2.78%,0.00%,,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,15,5,0,0,0,0,5,10,5,0,0,0,0,5,0,0,0,0,0,0,0
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,0200480,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
KUSPUK SCHOOL DISTRICT,AK,0200760,6.90%,7.14%,,,,,0.00%,12.50%,13.33%,,,,,0.00%,0.00%,0.00%,,,,,0.00%,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
LOWER KUSKOKWIM SCHOOL DISTRICT,AK,0200001,3.55%,4.14%,0.00%,,0.00%,0.00%,0.00%,5.68%,6.58%,0.00%,,0.00%,0.00%,0.00%,1.23%,1.45%,0.00%,,0.00%,0.00%,0.00%,30,30,0,0,0,0,0,25,25,0,0,0,0,0,5,5,0,0,0,0,0
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,AK,0200510,1.53%,1.27%,0.00%,0.00%,0.00%,0.00%,1.78%,2.21%,1.59%,0.00%,0.00%,0.00%,0.00%,2.62%,0.77%,0.90%,0.00%,0.00%,0.00%,0.00%,0.84%,105,15,0,0,0,0,90,80,10,0,0,0,0,70,25,5,0,0,0,0,20
NOME PUBLIC SCHOOLS,AK,0200570,2.53%,3.23%,0.00%,,,0.00%,0.00%,5.13%,6.25%,,,,,0.00%,2.56%,3.33%,0.00%,,,,0.00%,10,10,0,0,0,0,0,10,10,0,0,0,0,0,5,5,0,0,0,0,0
NORTH SLOPE BOROUGH SCHOOL DISTRICT,AK,0200610,7.75%,10.34%,0.00%,0.00%,0.00%,,20.00%,11.94%,15.56%,0.00%,0.00%,0.00%,,0.00%,3.23%,2.38%,0.00%,0.00%,,,0.00%,50,45,0,0,0,0,5,40,35,0,0,0,0,0,10,5,0,0,0,0,0
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,AK,0200625,3.90%,4.41%,,,0.00%,,0.00%,7.50%,5.88%,,,0.00%,,0.00%,0.00%,0.00%,,,,,0.00%,15,15,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
PETERSBURG CITY SCHOOL DISTRICT,AK,0200660,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
